id,sku,name,price,short_url,original_price,discount,discount_rate,review_count,rating_average
74341297,8887611660364,Không Sợ Chậm Chỉ Sợ Dừng ,77400,https://tiki.vn/product-p74341297.html?spid=74217683,129000,51600,40,2967,5.0
72308265,8128858354211,Hoa Vẫn Nở Mỗi Ngày,152100,https://tiki.vn/product-p72308265.html?spid=72308266,234000,81900,35,944,4.8
70224520,4849323174496,Băng keo dán nano 2 mặt siêu dính trong suốt dày 1mm dài 2m rộng 3cm và 5cm,30000,https://tiki.vn/product-p70224520.html?spid=150928052,30000,0,0,525,4.6
59262880,5858155258600,Sách Người Bán Hàng Vĩ Đại Nhất Thế Giới (Tái Bản 2020),96900,https://tiki.vn/product-p59262880.html?spid=59262881,148000,51100,35,957,5.0
58695343,1287755981825,Kỹ Năng Giao Tiếp Đỉnh Cao,57600,https://tiki.vn/product-p58695343.html?spid=58695344,96000,38400,40,524,4.8
23416722,6101272032509,How The Body Works - Hiểu Hết Về Cơ Thể,195000,https://tiki.vn/product-p23416722.html?spid=23416723,300000,105000,35,1029,4.8
21367457,3500695291969,Tôn Tử Binh Pháp ( Tái Bản ),57200,https://tiki.vn/product-p21367457.html?spid=21367458,88000,30800,35,847,4.8
15267827,4933955346595,Hoàng Tử Bé (Tái Bản 2019),48750,https://tiki.vn/product-p15267827.html?spid=15267828,75000,26250,35,3477,5.0
8835159,7265668071233,Đời Ngắn Đừng Ngủ Dài (Tái Bản),57100,https://tiki.vn/product-p8835159.html?spid=8835160,85000,27900,33,3162,4.8
7718737,7331106927391,Nghệ Thuật Tư Duy Rành Mạch (Tái Bản),76700,https://tiki.vn/product-p7718737.html?spid=7718738,118000,41300,35,1023,4.8
5067169,4715805599395,Luật Hấp Dẫn (Tái Bản),57850,https://tiki.vn/product-p5067169.html?spid=5411143,89000,31150,35,751,4.8
3608625,9869859661067,Payback Time - Ngày Đòi Nợ,299000,https://tiki.vn/product-p3608625.html?spid=3679503,299000,0,0,4436,4.8
186237324,9409602327838,Thiên quan tứ phúc - Tập 5 (Tiểu thuyết đam mỹ) - Tặng kèm 1 bookmark 2 mặt,110700,https://tiki.vn/product-p186237324.html?spid=186237326,159000,48300,30,183,5.0
183058543,3940628776654,OSHO - Trưởng Thành,97100,https://tiki.vn/product-p183058543.html?spid=183058544,128000,30900,24,129,5.0
162844699,3655925997884,Tạm Biệt Tôi Của Nhiều Năm Về Trước,61750,https://tiki.vn/product-p162844699.html?spid=162844704,95000,33250,35,658,4.8
158019964,7241191404500,Combo 4 Cuốn Bộ Sách: Nuôi Con Không Phải Là Cuộc Chiến (Tái Bản),318780,https://tiki.vn/product-p158019964.html?spid=158019965,506000,187220,37,250,5.0
145289356,6616656535602,"Sách Atomic Habits - Thay Đổi Tí Hon, Hiệu Quả Bất Ngờ ( Những Thay Đổi Nhỏ Tạo Nên Thành Công Lớn/ Tặng kèm Bookmark)",170000,https://tiki.vn/product-p145289356.html?spid=276514987,189000,19000,10,1,5.0
145288026,4953099111968,Chia Rẽ - Tại Sao Chúng Ta Đang Sống Trong Thời Đại Của Những Bức Tường,130000,https://tiki.vn/product-p145288026.html?spid=145288028,200000,70000,35,417,4.8
128649312,2905310794708,21 Nguyên Tắc Tự Do Tài Chính (Tái Bản),35200,https://tiki.vn/product-p128649312.html?spid=128649314,55000,19800,36,176,5.0
115266692,4720696713584,Sách - Ám Ảnh Sợ Xã Hội - Chạy Trốn Hay Đối Mặt,75000,https://tiki.vn/product-p115266692.html?spid=115437042,125000,50000,40,751,4.8
110448022,5411805297010,Ba Phút Sơ Cứu,91000,https://tiki.vn/product-p110448022.html?spid=110448025,140000,49000,35,330,5.0
106864418,4101802575661,Combo 10 Cuốn: Chuyện Xóm Gà,377000,https://tiki.vn/product-p106864418.html?spid=106864424,580000,203000,35,226,5.0
102629318,5735200203251,999 Lá Thư Gửi Cho Chính Mình (*) - Tập 1 - Mong Bạn Trở Thành Phiên Bản Hoàn Hảo Nhất (Tái bản),92800,https://tiki.vn/product-p102629318.html?spid=102629319,129000,36200,28,867,5.0
90887853,6131095988844,Mình Chỉ Là Người Bình Thường (Sách Tô Màu),82800,https://tiki.vn/product-p90887853.html?spid=90887878,138000,55200,40,1561,4.8
86517373,9854614898077,Khoa Học Về Nấu Ăn - The Science Of Cooking,227500,https://tiki.vn/product-p86517373.html?spid=86517374,350000,122500,35,1367,4.8
84970841,1478193941519,Men Chase Women Choose - Chuyện Tình Yêu Bạn Biết Được Bao Nhiêu?,79500,https://tiki.vn/product-p84970841.html?spid=84970842,109000,29500,27,719,5.0
79672197,1217713291104,Bí Mật Của May Mắn (Khổ Nhỏ)(Tái Bản),29400,https://tiki.vn/product-p79672197.html?spid=79672198,45000,15600,35,501,5.0
73515859,4748239598917,Sách OSHO - Can Đảm Là Chính Mình Trong Thế Giới Hiểm Nguy,60200,https://tiki.vn/product-p73515859.html?spid=73515860,88000,27800,32,280,5.0
53532186,1970316242755,Tuyệt kỹ Giao dịch bằng đồ thị nến Nhật – Japanese Candlestick Charting Techniques,499000,https://tiki.vn/product-p53532186.html?spid=53532187,499000,0,0,2322,4.8
52584834,7326121854685,Tư Duy Hệ Thống Trong Công Việc,53400,https://tiki.vn/product-p52584834.html?spid=52584835,89000,35600,40,709,4.7
50414368,1892640849779,Án Mạng Mười Một Chữ,71500,https://tiki.vn/product-p50414368.html?spid=50414369,110000,38500,35,1349,4.8
35283863,3217860347825,Lược Sử Thế Giới,208000,https://tiki.vn/product-p35283863.html?spid=35283864,320000,112000,35,858,4.6
11122712,6797090419297,Bộ sách Làm Giàu Từ Chứng Khoán (How To Make Money In Stock) phiên bản mới + Hướng Dẫn Thực Hành CANSLIM Cho Người Mới Bắt Đầu,700000,https://tiki.vn/product-p11122712.html?spid=74847164,700000,0,0,158,4.8
9948009,3471675350641,Dám Hạnh Phúc,71500,https://tiki.vn/product-p9948009.html?spid=9948010,110000,38500,35,550,4.8
